序号,area,x1,x2,x3,x4,x5,x6,x7,x8,s
1,上海,7108.62,1520.61,1646.19,1182.24,755.29,3373.19,2874.54,937.21,1
2,广东,5866.91,975.06,1748.16,947.54,836.39,2623.08,1936.38,594.45,1
3,北京,5561.54,1571.74,1286.32,1096.57,1563.1,2293.23,2383.52,704.24,1
4,浙江,5522.56,1546.46,1333.69,713.31,933.11,2392.63,2195.58,520.95,1
5,江苏,4544.64,1166.91,1042.1,813.45,794.63,1357.96,1799.75,458.1,1
6,福建,5078.85,1105.31,1300.1,722.17,540.63,1777.06,1453.18,523.83,2
7,重庆,4418.34,1294.3,1096.82,842.09,878.25,1044.36,1267.03,305.6,2
8,云南,4272.29,1026.5,739.2,331.94,606.86,1216.46,732.95,150.42,2
9,西藏,4262.77,1011.82,634.94,310.22,317.08,966.74,419.59,400.38,2
10,四川,4255.48,1042.45,819.28,590.51,564.93,1121.45,947.01,338.03,2
11,海南,4226.9,491.84,1106.39,565.51,536.4,1303.5,930.87,247.08,2
12,广西,4082.99,772.28,891.33,603.84,529.36,1376.03,1081.54,290.04,2
13,湖北,3996.27,1099.16,914.26,604.4,675.32,890.12,1037.24,260.74,2
14,湖南,3970.42,1090.72,960.82,674.84,790.95,971.05,1110.11,376.62,2
15,安徽,3905.05,1010.61,988.12,579.59,633.93,920.77,1160.14,325.82,2
16,山东,3699.42,1394.11,1247.04,806.35,799.79,1410.45,1277.43,372.01,2
17,江西,3633.05,969.58,851.15,623.17,483.96,872.57,945.99,337.91,2
18,贵州,3597.94,851.5,836.54,525.7,471.39,871.15,934.73,260.27,2
19,辽宁,4378.14,1187.41,1270.95,507.4,913.13,1295.7,1145.46,533.29,3
20,内蒙古,3553.48,1616.56,1028.19,672.64,869.71,1191.7,1383.53,512.81,3
21,宁夏,3352.83,1178.88,1069.15,596.81,816.87,1096.32,1043.72,403.71,3
22,青海,3315.94,945.14,802.73,538.54,610.02,787.63,880.86,311.72,3
23,吉林,3307.14,1259.62,1285.28,510.49,914.47,954.96,1071.8,425.3,3
24,新疆,3235.77,1245.02,781.9,535.31,643.48,1003.89,812.36,411.63,3
25,甘肃,3183.79,1022.62,846.26,546.23,654.82,817.17,936.33,301.4,3
26,河北,3155.4,1137.22,1097.41,574.84,808.88,1062.31,946.38,304.28,3
27,黑龙江,3128.1,1217.04,941.25,494.49,864.89,749.05,906.19,321.95,3
28,河南,3079.82,1141.76,963.59,633.32,790.87,915.12,988.95,324.03,3
29,山西,2974.76,1137.71,1250.87,471.65,769.79,931.33,1041.91,228.53,3
1,天  津,5005.09,1153.66,1528.28,817.18,1220.92,1567.87,1608.97,520.49,
2,陕  西,3586.13,1047.61,1007.68,618.16,862.7,967.52,1281.58,400.68,
